session_id,date,open_time,close_date,building_id,office_id,ext_temp,ext_humidity,ext_light
SE0OFF00,2022/01/01,12:00:00,13:00:00,0,OFF0,5,65,3
SE0OFF02,2022/01/01,14:00:00,16:00:00,0,OFF0,3,63,3
SE0OFF04,2022/01/01,16:00:00,18:00:00,0,OFF0,3,63,2
SE0OFF06,2022/01/01,18:00:00,19:00:00,0,OFF0,0,60,0
SE0OFF08,2022/01/01,19:00:00,20:00:00,0,OFF0,0,60,0
SE0OFF18,2022/01/01,11:00:00,15:00:00,0,OFF1,5,65,3
SE0OFF18,2022/01/01,18:00:00,19:00:00,0,OFF1,0,60,0
SE0OFF110,2022/01/01,19:00:00,20:00:00,0,OFF1,0,60,0
SE0OFF211,2022/01/01,14:00:00,17:00:00,0,OFF2,3,63,3
SE0OFF213,2022/01/01,17:00:00,18:00:00,0,OFF2,3,63,2
SE0OFF214,2022/01/01,18:00:00,19:00:00,0,OFF2,0,60,0
SE0OFF214,2022/01/01,19:00:00,20:00:00,0,OFF2,0,60,0
SE0OFF315,2022/01/01,11:00:00,12:00:00,0,OFF3,5,65,3
SE0OFF316,2022/01/01,12:00:00,13:00:00,0,OFF3,5,65,3
SE0OFF317,2022/01/01,14:00:00,15:00:00,0,OFF3,3,63,3
SE0OFF318,2022/01/01,16:00:00,17:00:00,0,OFF3,3,63,2
SE0OFF319,2022/01/01,17:00:00,19:00:00,0,OFF3,3,63,2
SE0OFF321,2022/01/01,19:00:00,20:00:00,0,OFF3,0,60,0
SE0OFF421,2022/01/01,08:00:00,17:00:00,0,OFF4,2,62,1
SE0OFF422,2022/01/01,17:00:00,18:00:00,0,OFF4,3,63,2
SE0OFF423,2022/01/01,18:00:00,19:00:00,0,OFF4,0,60,0
SE0OFF424,2022/01/01,19:00:00,20:00:00,0,OFF4,0,60,0
SE0OFF526,2022/01/01,09:00:00,11:00:00,0,OFF5,2,62,0
SE0OFF527,2022/01/01,11:00:00,12:00:00,0,OFF5,5,65,3
SE0OFF528,2022/01/01,12:00:00,14:00:00,0,OFF5,5,65,3
SE0OFF528,2022/01/01,14:00:00,17:00:00,0,OFF5,3,63,3
SE0OFF529,2022/01/01,17:00:00,18:00:00,0,OFF5,3,63,2
SE0OFF531,2022/01/01,18:00:00,19:00:00,0,OFF5,0,60,0
SE0OFF531,2022/01/01,19:00:00,20:00:00,0,OFF5,0,60,0
SE0OFF633,2022/01/01,08:00:00,11:00:00,0,OFF6,2,62,1
SE0OFF633,2022/01/01,13:00:00,14:00:00,0,OFF6,5,65,3
SE0OFF633,2022/01/01,14:00:00,17:00:00,0,OFF6,3,63,3
SE0OFF635,2022/01/01,17:00:00,18:00:00,0,OFF6,3,63,2
SE0OFF635,2022/01/01,18:00:00,19:00:00,0,OFF6,0,60,0
SE0OFF635,2022/01/01,19:00:00,20:00:00,0,OFF6,0,60,0
SE0OFF735,2022/01/01,11:00:00,12:00:00,0,OFF7,5,65,3
SE0OFF737,2022/01/01,12:00:00,15:00:00,0,OFF7,5,65,3
SE0OFF739,2022/01/01,15:00:00,17:00:00,0,OFF7,3,63,3
SE0OFF739,2022/01/01,17:00:00,18:00:00,0,OFF7,3,63,2
SE0OFF739,2022/01/01,18:00:00,19:00:00,0,OFF7,0,60,0
SE0OFF741,2022/01/01,19:00:00,20:00:00,0,OFF7,0,60,0
SE0OFF842,2022/01/01,09:00:00,10:00:00,0,OFF8,2,62,0
SE0OFF842,2022/01/01,12:00:00,14:00:00,0,OFF8,5,65,3
SE0OFF842,2022/01/01,14:00:00,15:00:00,0,OFF8,3,63,3
SE0OFF843,2022/01/01,16:00:00,17:00:00,0,OFF8,3,63,2
SE0OFF845,2022/01/01,17:00:00,18:00:00,0,OFF8,3,63,2
SE0OFF847,2022/01/01,18:00:00,19:00:00,0,OFF8,0,60,0
SE0OFF849,2022/01/01,19:00:00,20:00:00,0,OFF8,0,60,0
SE0OFF950,2022/01/01,11:00:00,14:00:00,0,OFF9,5,65,3
SE0OFF950,2022/01/01,14:00:00,17:00:00,0,OFF9,3,63,3
SE0OFF951,2022/01/01,17:00:00,19:00:00,0,OFF9,3,63,2
SE0OFF953,2022/01/01,19:00:00,20:00:00,0,OFF9,0,60,0
SE0OFF1053,2022/01/01,08:00:00,19:00:00,0,OFF10,2,62,1
SE0OFF1054,2022/01/01,19:00:00,20:00:00,0,OFF10,0,60,0
